month,program,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
May 26,ASCEND,1306800,0.4,522720,0.6,784080,0.22,19.987,66.6233,166.5583,3331.1667,0.006
Jun 26,ASCEND,1900800,0.4,760320,0.6,1140480,0.32,29.072,96.9067,242.2667,4845.3333,0.006
Jul 26,ASCEND,1188000,0.5,594000,0.5,594000,0.2,18.17,60.5667,151.4167,2907.2,0.00625
Aug 26,ASCEND,415800,0.55,228690,0.45,187110,0.07,6.3595,21.1983,52.9958,997.5686,0.006375
Sep 26,ASCEND,178200,0.6,106920,0.4,71280,0.03,2.7255,9.085,22.7125,419.3077,0.0065
Oct 26,ASCEND,118800,0.6,71280,0.4,47520,0.02,1.817,6.0567,15.1417,279.5385,0.0065
Jan 26,Residential Campus,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,Residential Campus,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,Residential Campus,2250000,0.5,1125000,0.5,1125000,0.1,34.5,115,287.5,5520,0.00625
Apr 26,Residential Campus,2700000,0.45,1215000,0.55,1485000,0.12,41.4,138,345,6759.1837,0.006125
May 26,Residential Campus,3600000,0.4,1440000,0.6,2160000,0.16,55.2,184,460,9200,0.006
Jun 26,Residential Campus,4950000,0.4,1980000,0.6,2970000,0.22,75.9,253,632.5,12650,0.006
Jul 26,Residential Campus,3600000,0.5,1800000,0.5,1800000,0.16,55.2,184,460,8832,0.00625
Aug 26,Residential Campus,2250000,0.55,1237500,0.45,1012500,0.1,34.5,115,287.5,5411.7647,0.006375
Sep 26,Residential Campus,1800000,0.6,1080000,0.4,720000,0.08,27.6,92,230,4246.1538,0.0065
Oct 26,Residential Campus,1350000,0.6,810000,0.4,540000,0.06,20.7,69,172.5,3184.6154,0.0065
