month,campus,source,source_spend_pct_month,allocated_spend,target_leads,target_bookings,target_appointments,target_demos,target_enrollments
Feb 26,Kolkata-TechnoIndia,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Kolkata-TechnoIndia,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Pune-ADYPatil,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Pune-ADYPatil,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bengaluru-Presidency,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bengaluru-Presidency,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bangalore-Yenepoya,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bangalore-Yenepoya,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Chennai-AMET,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Chennai-AMET,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hyderabad-MNR,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hyderabad-MNR,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Gurugram-KRMangalam,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Gurugram-KRMangalam,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Jalandhar-LPU,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Jalandhar-LPU,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Dehradun-DBS,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Dehradun-DBS,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hyderabad-SMRU,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hyderabad-SMRU,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bengaluru-GHAcademy,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bengaluru-GHAcademy,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mysuru-BIMS,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mysuru-BIMS,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hubli-SCNursing,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hubli-SCNursing,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mumbai-SkillTech,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mumbai-SkillTech,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Dehradun-MayaDevi,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Dehradun-MayaDevi,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Kopargaon-Sanjivani,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Kopargaon-Sanjivani,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mathura-Sanskriti,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mathura-Sanskriti,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mohali-Saraswati,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Mohali-Saraswati,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,St. Peters-Chennai,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,St. Peters-Chennai,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,St. Peters-Bangalore,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,St. Peters-Bangalore,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 11,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 11,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 12,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 12,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 13,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 13,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 14,Google,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,New 14,Meta,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Mar 26,Jamshedpur-ArkaJain,Google,0.5,67320.0,121.44,0.9108,7.59,3.036,0.9108
Mar 26,Jamshedpur-ArkaJain,Meta,0.5,67320.0,182.16,0.9108,7.59,3.036,0.9108
Mar 26,Indore-MediCaps,Google,0.5,67320.0,121.44,0.9108,7.59,3.036,0.9108
Mar 26,Indore-MediCaps,Meta,0.5,67320.0,182.16,0.9108,7.59,3.036,0.9108
Mar 26,Kolkata-TechnoIndia,Google,0.5,44880.0,80.96,0.6072,5.06,2.024,0.6072
Mar 26,Kolkata-TechnoIndia,Meta,0.5,44880.0,121.44,0.6072,5.06,2.024,0.6072
Mar 26,Pune-ADYPatil,Google,0.5,44880.0,80.96,0.6072,5.06,2.024,0.6072
Mar 26,Pune-ADYPatil,Meta,0.5,44880.0,121.44,0.6072,5.06,2.024,0.6072
Mar 26,Bengaluru-Presidency,Google,0.5,35904.0,64.768,0.4858,4.048,1.6192,0.4858
Mar 26,Bengaluru-Presidency,Meta,0.5,35904.0,97.152,0.4858,4.048,1.6192,0.4858
Mar 26,Bangalore-Yenepoya,Google,0.5,11220.0,20.24,0.1518,1.265,0.506,0.1518
Mar 26,Bangalore-Yenepoya,Meta,0.5,11220.0,30.36,0.1518,1.265,0.506,0.1518
Mar 26,Chennai-AMET,Google,0.5,49368.0,89.056,0.6679,5.566,2.2264,0.6679
Mar 26,Chennai-AMET,Meta,0.5,49368.0,133.584,0.6679,5.566,2.2264,0.6679
Mar 26,Hyderabad-MNR,Google,0.5,78540.0,141.68,1.0626,8.855,3.542,1.0626
Mar 26,Hyderabad-MNR,Meta,0.5,78540.0,212.52,1.0626,8.855,3.542,1.0626
Mar 26,Gurugram-KRMangalam,Google,0.5,44880.0,80.96,0.6072,5.06,2.024,0.6072
Mar 26,Gurugram-KRMangalam,Meta,0.5,44880.0,121.44,0.6072,5.06,2.024,0.6072
Mar 26,Jalandhar-LPU,Google,0.5,49368.0,89.056,0.6679,5.566,2.2264,0.6679
Mar 26,Jalandhar-LPU,Meta,0.5,49368.0,133.584,0.6679,5.566,2.2264,0.6679
Mar 26,Dehradun-DBS,Google,0.5,13464.0,24.288,0.1822,1.518,0.6072,0.1822
Mar 26,Dehradun-DBS,Meta,0.5,13464.0,36.432,0.1822,1.518,0.6072,0.1822
Mar 26,Hyderabad-SMRU,Google,0.5,51612.0,93.104,0.6983,5.819,2.3276,0.6983
Mar 26,Hyderabad-SMRU,Meta,0.5,51612.0,139.656,0.6983,5.819,2.3276,0.6983
Mar 26,Bengaluru-GHAcademy,Google,0.5,31416.0,56.672,0.425,3.542,1.4168,0.425
Mar 26,Bengaluru-GHAcademy,Meta,0.5,31416.0,85.008,0.425,3.542,1.4168,0.425
Mar 26,Mysuru-BIMS,Google,0.5,22440.0,40.48,0.3036,2.53,1.012,0.3036
Mar 26,Mysuru-BIMS,Meta,0.5,22440.0,60.72,0.3036,2.53,1.012,0.3036
Mar 26,Hubli-SCNursing,Google,0.5,22440.0,40.48,0.3036,2.53,1.012,0.3036
Mar 26,Hubli-SCNursing,Meta,0.5,22440.0,60.72,0.3036,2.53,1.012,0.3036
Mar 26,Mumbai-SkillTech,Google,0.5,33660.0,60.72,0.4554,3.795,1.518,0.4554
Mar 26,Mumbai-SkillTech,Meta,0.5,33660.0,91.08,0.4554,3.795,1.518,0.4554
Mar 26,Dehradun-MayaDevi,Google,0.5,40392.0,72.864,0.5465,4.554,1.8216,0.5465
Mar 26,Dehradun-MayaDevi,Meta,0.5,40392.0,109.296,0.5465,4.554,1.8216,0.5465
Mar 26,Kopargaon-Sanjivani,Google,0.5,49368.0,89.056,0.6679,5.566,2.2264,0.6679
Mar 26,Kopargaon-Sanjivani,Meta,0.5,49368.0,133.584,0.6679,5.566,2.2264,0.6679
Mar 26,Mathura-Sanskriti,Google,0.5,53856.0,97.152,0.7286,6.072,2.4288,0.7286
Mar 26,Mathura-Sanskriti,Meta,0.5,53856.0,145.728,0.7286,6.072,2.4288,0.7286
Mar 26,Mohali-Saraswati,Google,0.5,56100.0,101.2,0.759,6.325,2.53,0.759
Mar 26,Mohali-Saraswati,Meta,0.5,56100.0,151.8,0.759,6.325,2.53,0.759
Mar 26,St. Peters-Chennai,Google,0.5,35904.0,64.768,0.4858,4.048,1.6192,0.4858
Mar 26,St. Peters-Chennai,Meta,0.5,35904.0,97.152,0.4858,4.048,1.6192,0.4858
Mar 26,St. Peters-Bangalore,Google,0.5,33660.0,60.72,0.4554,3.795,1.518,0.4554
Mar 26,St. Peters-Bangalore,Meta,0.5,33660.0,91.08,0.4554,3.795,1.518,0.4554
Mar 26,New 11,Google,0.5,17952.0,32.384,0.2429,2.024,0.8096,0.2429
Mar 26,New 11,Meta,0.5,17952.0,48.576,0.2429,2.024,0.8096,0.2429
Mar 26,New 12,Google,0.5,17952.0,32.384,0.2429,2.024,0.8096,0.2429
Mar 26,New 12,Meta,0.5,17952.0,48.576,0.2429,2.024,0.8096,0.2429
Mar 26,New 13,Google,0.5,17952.0,32.384,0.2429,2.024,0.8096,0.2429
Mar 26,New 13,Meta,0.5,17952.0,48.576,0.2429,2.024,0.8096,0.2429
Mar 26,New 14,Google,0.5,17952.0,32.384,0.2429,2.024,0.8096,0.2429
Mar 26,New 14,Meta,0.5,17952.0,48.576,0.2429,2.024,0.8096,0.2429
Apr 26,Jamshedpur-ArkaJain,Google,0.45,151470.0,273.24,2.0493,17.0775,6.831,2.0493
Apr 26,Jamshedpur-ArkaJain,Meta,0.55,185130.0,500.94,2.5047,20.8725,8.349,2.5047
Apr 26,Indore-MediCaps,Google,0.45,151470.0,273.24,2.0493,17.0775,6.831,2.0493
